10  15  0.15          0.18  0.99
15  20  0.15          0.15  0.83
20  25  0.1855339289  0.19  1.03
25  30  0.2942241683  0.19  1.03
30  35  0.4403017911  0.19  1.03
35  40  0.6300357809  0.19  1.03
40  50  0.69773782    0.19  1.03
50  60  1.206799226   0.19  1.03
